valid_time,number,expver,rain_mm
1970-09-13,0,0001,0.0035555689
1970-09-14,0,0001,0.019100202
1970-09-15,0,0001,0.053552616
1970-09-16,0,0001,0.070041925
1970-09-17,0,0001,0.00045303328
1970-09-18,0,0001,0.0
1970-09-19,0,0001,0.0
1970-09-20,0,0001,0.0
1970-09-21,0,0001,0.0
1970-09-22,0,0001,2.2446713e-05
1970-09-23,0,0001,0.0
1970-09-24,0,0001,0.0010243568
1970-09-25,0,0001,0.112982415
1970-09-26,0,0001,0.025272664
1970-09-27,0,0001,0.0025956086
1970-09-28,0,0001,0.015932381
1970-09-29,0,0001,0.006652707
1970-09-30,0,0001,1.453698e-05
1970-10-01,0,0001,8.304472e-05
1970-10-02,0,0001,0.015762096
1970-10-03,0,0001,7.0912824e-06
1970-10-04,0,0001,0.1978733
1970-10-05,0,0001,2.988925e-05
1970-10-06,0,0001,0.0061116084
1970-10-07,0,0001,0.012453744
1970-10-08,0,0001,0.18520261
1970-10-09,0,0001,0.58398235
1970-10-10,0,0001,0.0037017136
1970-10-11,0,0001,2.639968
1970-10-12,0,0001,0.31293696
1970-10-13,0,0001,0.05587798
1970-10-14,0,0001,0.00012920493
1970-10-15,0,0001,0.0
1970-10-16,0,0001,0.52354836
1970-10-17,0,0001,0.0005265404
1970-10-18,0,0001,0.0
1970-10-19,0,0001,0.0
1970-10-20,0,0001,0.0
1970-10-21,0,0001,0.11054936
1970-10-22,0,0001,0.012510653
1970-10-23,0,0001,0.0014807293
1970-10-24,0,0001,0.0
1970-10-25,0,0001,0.003678675
1970-10-26,0,0001,0.0
1970-10-27,0,0001,0.00015484616
1970-10-28,0,0001,0.00016762274
1970-10-29,0,0001,0.0001037429
1970-10-30,0,0001,3.904662e-05
1970-10-31,0,0001,3.4531313e-05
1970-11-01,0,0001,1.4182565e-05
1970-11-02,0,0001,1.453698e-05
1970-11-03,0,0001,0.0
1970-11-04,0,0001,0.0
1970-11-05,0,0001,0.0
1970-11-06,0,0001,2.1396103e-05
1970-11-07,0,0001,0.0042878087
1970-11-08,0,0001,0.49276963
1970-11-09,0,0001,0.0
1970-11-10,0,0001,0.02384225
1970-11-11,0,0001,0.0015639724
1970-11-12,0,0001,0.002247845
1970-11-13,0,0001,0.46743232
1970-11-14,0,0001,0.016663028
1970-11-15,0,0001,0.018126331
1970-11-16,0,0001,0.0018146085
1970-11-17,0,0001,0.058227852
1970-11-18,0,0001,6.959645e-05
1970-11-19,0,0001,0.21730012
1970-11-20,0,0001,0.0012267724
1970-11-21,0,0001,0.05252365
1970-11-22,0,0001,0.0
1970-11-23,0,0001,0.0
1970-11-24,0,0001,0.0
1970-11-25,0,0001,0.055410635
1970-11-26,0,0001,0.000465551
1970-11-27,0,0001,0.0015645117
1970-11-28,0,0001,0.0008252375
1970-11-29,0,0001,0.039989814
1970-11-30,0,0001,2.1474223e-05
1970-12-01,0,0001,0.0
1970-12-02,0,0001,4.5756966e-05
1970-12-03,0,0001,0.0008325166
1970-12-04,0,0001,0.0
1970-12-05,0,0001,0.0010784348
1970-12-06,0,0001,3.2088694e-05
1970-12-07,0,0001,0.0002751139
1970-12-08,0,0001,0.23218991
1970-12-09,0,0001,1.0244858
1970-12-10,0,0001,0.049680468
1970-12-11,0,0001,0.1875621
1970-12-12,0,0001,0.3298992
1970-12-13,0,0001,0.022288708
1970-12-14,0,0001,0.11546165
1970-12-15,0,0001,4.1035633e-05
1970-12-16,0,0001,9.8753124e-05
1970-12-17,0,0001,0.002536653
1970-12-18,0,0001,0.0
1970-12-19,0,0001,0.0
1970-12-20,0,0001,0.042723004
1970-12-21,0,0001,0.00056206546
1970-12-22,0,0001,1.8822519e-05
1970-12-23,0,0001,0.083877064
1970-12-24,0,0001,0.06667329
1970-12-25,0,0001,0.008031113
1970-12-26,0,0001,0.023987832
1970-12-27,0,0001,0.00032631523
1970-12-28,0,0001,0.0094335135
1970-12-29,0,0001,0.15810058
1970-12-30,0,0001,0.00010831067
1970-12-31,0,0001,0.0018527132
1971-01-01,0,0001,0.013066064
1971-01-02,0,0001,0.0013262769
1971-01-03,0,0001,0.0
1971-01-04,0,0001,2.5096693e-05
1971-01-05,0,0001,0.0011030536
1971-01-06,0,0001,1.05288855e-05
1971-01-07,0,0001,0.00012856693
1971-01-08,0,0001,0.005114922
1971-01-09,0,0001,0.0004629194
1971-01-10,0,0001,3.0554045e-05
1971-01-11,0,0001,0.00029178732
1971-01-12,0,0001,0.0124191865
1971-01-13,0,0001,5.157161e-05
1971-01-14,0,0001,0.1656534
1971-01-15,0,0001,5.864685e-07
1971-01-16,0,0001,0.00017674833
1971-01-17,0,0001,0.0
1971-01-18,0,0001,0.8404534
1971-01-19,0,0001,0.27481428
1971-01-20,0,0001,0.8098638
1971-01-21,0,0001,0.72466147
1971-01-22,0,0001,0.0016843582
1971-01-23,0,0001,0.06575089
1971-01-24,0,0001,0.08416254
1971-01-25,0,0001,0.0001320234
1971-01-26,0,0001,5.279952e-06
1971-01-27,0,0001,0.06084301
1971-01-28,0,0001,1.9884906e-06
1971-01-29,0,0001,0.0007089908
1971-01-30,0,0001,0.008004963
1971-01-31,0,0001,0.1518985
1971-02-01,0,0001,0.016039336
1971-02-02,0,0001,0.0
1971-02-03,0,0001,0.019369256
1971-02-04,0,0001,0.0
1971-02-05,0,0001,0.008840286
1971-02-06,0,0001,0.0
1971-02-07,0,0001,0.0
1971-02-08,0,0001,0.0
1971-02-09,0,0001,0.17027321
1971-02-10,0,0001,0.010408069
1971-02-11,0,0001,0.00045550556
1971-02-12,0,0001,2.1167101e-05
1971-02-13,0,0001,0.0
1971-02-14,0,0001,0.0
1971-02-15,0,0001,0.053723197
1971-02-16,0,0001,0.19052036
1971-02-17,0,0001,0.0009983962
1971-02-18,0,0001,0.0003372812
1971-02-19,0,0001,0.012196992
1971-02-20,0,0001,0.025470005
1971-02-21,0,0001,0.0017907188
1971-02-22,0,0001,0.00024671317
1971-02-23,0,0001,0.026179085
1971-02-24,0,0001,0.0
1971-02-25,0,0001,0.00038451675
1971-02-26,0,0001,0.0
1971-02-27,0,0001,0.0
1971-02-28,0,0001,0.0056160465
1971-03-01,0,0001,0.40730128
1971-03-02,0,0001,1.9884906e-06
1971-03-03,0,0001,0.0
1971-03-04,0,0001,0.041825995
1971-03-05,0,0001,0.066887975
1971-03-06,0,0001,0.02779851
1971-03-07,0,0001,0.016545877
1971-03-08,0,0001,0.014509467
1971-03-09,0,0001,0.11890799
1971-03-10,0,0001,0.00069031224
1971-03-11,0,0001,5.279952e-06
1971-03-12,0,0001,0.013840777
1971-03-13,0,0001,0.22495618
1971-03-14,0,0001,0.22288373
1971-03-15,0,0001,0.024010869
1971-03-16,0,0001,0.00013169483
1971-03-17,0,0001,7.5323005e-05
1971-03-18,0,0001,0.0019769527
1971-03-19,0,0001,0.050157897
1971-03-20,0,0001,0.1901049
1971-03-21,0,0001,0.016793411
1971-03-22,0,0001,0.0017909212
1971-03-23,0,0001,0.003397122
1971-03-24,0,0001,0.0036589825
1971-03-25,0,0001,0.0
1971-03-26,0,0001,0.0
1971-03-27,0,0001,0.0025261878
1971-03-28,0,0001,0.0019034151
1971-03-29,0,0001,0.0
1971-03-30,0,0001,0.0018057609
1971-03-31,0,0001,0.16907254
1971-04-01,0,0001,0.12527877
1971-04-02,0,0001,0.0002362113
1971-04-03,0,0001,0.12375729
1971-04-04,0,0001,0.0023178044
1971-04-05,0,0001,0.074455224
1971-04-06,0,0001,0.0
1971-04-07,0,0001,0.19865207
1971-04-08,0,0001,0.05452942
1971-04-09,0,0001,0.02473225
1971-04-10,0,0001,0.016187955
1971-04-11,0,0001,0.000112218244
1971-04-12,0,0001,3.086078e-05
1971-04-13,0,0001,0.0017482641
1971-04-14,0,0001,0.004871969
